s_m,x_m,y_m,z_m,kappa_m_inv,tau_m_inv,phi_integrated_rad,phi_pt_rad
0.0000000000000000e+00,1.0882409458076464e-14,7.3719385164138422e-15,2.7932773824313036e-15,1.1401253421916205e+14,3.9604988098378660e+15,0.0000000000000000e+00,0.0000000000000000e+00
3.5386313905089985e-17,1.0908728984189654e-14,7.3537823813622529e-15,2.7781172864977617e-15,1.1355328849515898e+14,3.9591266941761595e+15,1.4014745410565801e-01,1.3840004292795527e-03
7.0772627810179969e-17,1.0934954774309272e-14,7.3355294437244699e-15,2.7629110576492773e-15,1.1305703595089030e+14,3.9516198855846645e+15,2.8024635409579679e-01,3.4884226327245305e-03
1.0615894171526995e-16,1.0961086875515097e-14,7.3171806443834620e-15,2.7476589745971433e-15,1.0618819341275639e+14,3.9435910964419495e+15,4.2007961580069147e-01,4.9214683655007807e-03
1.4154525562035994e-16,1.0987125376433777e-14,7.2987369271184423e-15,2.7323613622140228e-15,1.1844743993860650e+14,1.6722511514001113e+12,5.5962876825270436e-01,5.8469751510890067e-03
1.7693156952544994e-16,1.1013070375311684e-14,7.2801991851107541e-15,2.7170186007385071e-15,1.1167050945987012e+14,-1.2811284133065152e+13,5.5968794305687597e-01,6.0617713175703525e-03
2.1231788343053991e-16,1.1038921940667873e-14,7.2615682040857762e-15,2.7016311290556616e-15,1.1137085471851897e+14,-3.5069819975709406e+13,5.5923459893501593e-01,5.4100530696943316e-03
2.4770419733562988e-16,1.1064680067364116e-14,7.2428446070882197e-15,2.6861994411800478e-15,1.1121090502065820e+14,-5.5061868998841930e+13,5.5799360727676051e-01,3.8055195997710456e-03
2.8309051124071988e-16,1.1090344632257866e-14,7.2240288065683543e-15,2.6707240761433618e-15,1.1121655981382305e+14,-7.3956089825620172e+13,5.5604517069616655e-01,1.2469928863765301e-03
3.1847682514580987e-16,1.1115915354541140e-14,7.2051209695363135e-15,2.6552056025441983e-15,1.1140196884765412e+14,-9.0229641571932641e+13,5.5342813728640405e-01,-2.1762363902089188e-03
3.5386313905089987e-16,1.1141391766204677e-14,7.1861210009181583e-15,2.6396445998818484e-15,1.1176651562894592e+14,-1.0259885628887019e+14,5.5023524286619596e-01,-6.2917652289875559e-03
3.8924945295598982e-16,1.1166773197673389e-14,7.1670285489109612e-15,2.6240416393335309e-15,1.1229300966425397e+14,-1.1015282938944506e+14,5.4660464753125482e-01,-1.0863956094950833e-02
4.2463576686107982e-16,1.1192058782506965e-14,7.1478430341770627e-15,2.6083972667555039e-15,1.1295500551814927e+14,-1.1241222807023727e+14,5.4270674493294602e-01,-1.5623003945589353e-02
4.6002208076616976e-16,1.1217247483230308e-14,7.1285637023254201e-15,2.5927119903713700e-15,1.1369011366906477e+14,-1.0939175211864511e+14,5.3872889054368200e-01,-2.0297418433118164e-02
4.9540839467125976e-16,1.1242338138040419e-14,7.1091896965639522e-15,2.5769862749031148e-15,1.1444144093264344e+14,-1.0153657527559445e+14,5.3485791966458385e-01,-2.4643501162114223e-02
5.3079470857634976e-16,1.1267329525596963e-14,7.0897201449754470e-15,2.5612205429114301e-15,1.1514291756244350e+14,-8.9667592217285500e+13,5.3126491453903379e-01,-2.8467651880783151e-02
5.6618102248143975e-16,1.1292220442653944e-14,7.0701542548749899e-15,2.5454151829926270e-15,1.1572682879300698e+14,-7.4851665432284656e+13,5.2809190897371938e-01,-3.1634677738059391e-02
6.0156733638652975e-16,1.1317009727929103e-14,7.0504913490873318e-15,2.5295705408912098e-15,1.1613205535754212e+14,-5.8270729666861578e+13,5.2544318444441374e-01,-3.4072013092796727e-02
6.3695365029161975e-16,1.1341696505438889e-14,7.0307311033262182e-15,2.5136869990005552e-15,1.1631074899078775e+14,-4.1094506806656789e+13,5.2338119811294359e-01,-3.5763367721881600e-02
6.7233996419670975e-16,1.1366280117920931e-14,7.0108734791615675e-15,2.4977649405993904e-15,1.1623403801337719e+14,-2.4376084735244977e+13,5.2192701499530836e-01,-3.6738030190198057e-02
7.0772627810179974e-16,1.1390760194295702e-14,6.9909187788503360e-15,2.4818047725380643e-15,1.1589604503167181e+14,-8.9758434277711758e+12,5.2106443520908996e-01,-3.7060995783418260e-02
7.4311259200688964e-16,1.1415136680462440e-14,6.9708676597474265e-15,2.4658069383551066e-15,1.1530813053393767e+14,4.4535007036904316e+12,5.2074681319599192e-01,-3.6820578977593277e-02
7.7849890591197964e-16,1.1439409827993968e-14,6.9507211058638383e-15,2.4497719199285943e-15,1.1452640614647794e+14,1.5512514989423266e+13,5.2090440616986922e-01,-3.6119767908869838e-02
8.1388521981706964e-16,1.1463580150822014e-14,6.9304803688413113e-15,2.4337002308987615e-15,1.1361036774525817e+14,2.4010992454722168e+13,5.2145333689474238e-01,-3.5068788987250965e-02
8.4927153372215963e-16,1.1487648352794039e-14,6.9101468835476971e-15,2.4175924020689789e-15,1.1263695023090234e+14,2.9969935809855191e+13,5.2230299741091790e-01,-3.3778660196905452e-02
8.8465784762724963e-16,1.1511615232468083e-14,6.8897221663008410e-15,2.4014489601478966e-15,1.1169179974888569e+14,3.3576054456356117e+13,5.2336352296720090e-01,-3.2355204168268870e-02
9.2004416153233953e-16,1.1535481574422506e-14,6.8692077057329550e-15,2.3852704022001573e-15,1.1085940701936970e+14,3.5144521768972145e+13,5.2455165576988783e-01,-3.0893116972418033e-02
9.5543047543742962e-16,1.1559248038293362e-14,6.8486048572595430e-15,2.3690571688905693e-15,1.1021453999389267e+14,3.5074359791244465e+13,5.2579529084924903e-01,-2.9470225587162613e-02
9.9081678934251952e-16,1.1582915057421345e-14,6.8279147518733380e-15,2.3528096199390748e-15,1.0981454490610592e+14,3.3800157936882098e+13,5.2703644315484199e-01,-2.8142713485093118e-02
1.0262031032476096e-15,1.1606482758261745e-14,6.8071382285425281e-15,2.3365280150996190e-15,1.0969338523834031e+14,3.1744474338415336e+13,5.2823250615363815e-01,-2.6942528894036588e-02
1.0615894171526995e-15,1.1629950909637625e-14,6.7862757969931512e-15,2.3202125034419293e-15,1.0985810414686570e+14,2.9274262964732184e+13,5.2935582608732945e-01,-2.5878087192539034e-02
1.0969757310577896e-15,1.1653318907731785e-14,6.7653276343692523e-15,2.3038631228145332e-15,1.1028812720081055e+14,2.6663839419971133e+13,5.3039173434593956e-01,-2.4938648934134111e-02
1.1323620449628795e-15,1.1676585798794202e-14,6.7442936155632924e-15,2.2874798102114466e-15,1.1093749857681845e+14,2.4066585057450766e+13,5.3133526933756958e-01,-2.4101693441488381e-02
1.1677483588679694e-15,1.1699750337363050e-14,6.7231733733235540e-15,2.2710624225063344e-15,1.1173980546161822e+14,2.1498098094254047e+13,5.3218689707103606e-01,-2.3341752140779715e-02
1.2031346727730595e-15,1.1722811073854605e-14,6.7019663810078078e-15,2.2546107658175459e-15,1.1261523346740005e+14,1.8834022458642754e+13,5.3294763551856172e-01,-2.2638941520901179e-02
1.2385209866781494e-15,1.1745766462141720e-14,6.6806720484505748e-15,2.2381246307873894e-15,1.1347895059930416e+14,1.5825141248860080e+13,5.3361410214937877e-01,-2.1985858365022981e-02
1.2739073005832395e-15,1.1768614975584676e-14,6.6592898201286200e-15,2.2216038304211754e-15,1.1424986896838367e+14,1.2130224947506951e+13,5.3417409556520334e-01,-2.1392228862039619e-02
1.3092936144883294e-15,1.1791355219155283e-14,6.6378192647982034e-15,2.2050482369153307e-15,1.1485880178391566e+14,7.3644230251638037e+12,5.3460333951293515e-01,-2.0887319494522272e-02
1.3446799283934195e-15,1.1813986025894155e-14,6.6162601470283980e-15,2.1884578141201886e-15,1.1525512008905684e+14,1.1589294359410645e+12,5.3486393929783349e-01,-2.0520380437033081e-02
1.3800662422985094e-15,1.1836506527890060e-14,6.5946124734035376e-15,2.1718326428848998e-15,1.1541120813033606e+14,-6.7733785053133750e+12,5.3490494953864753e-01,-2.0359299387576080e-02
1.4154525562035995e-15,1.1858916195027327e-14,6.5728765093081053e-15,2.1551729374146762e-15,1.1532429038427034e+14,-1.6572393032613199e+13,5.3466526464066055e-01,-2.0487349043012193e-02
1.4508388701086894e-15,1.1881214838536895e-14,6.5510527657398617e-15,2.1384790517971018e-15,1.1501552160965305e+14,-2.8172682159374844e+13,5.3407882873864987e-01,-2.0997621497606644e-02
1.4862251840137793e-15,1.1903402580431869e-14,6.5291419590749981e-15,2.1217514768748770e-15,1.1452655252286575e+14,-4.1261849314565281e+13,5.3308190136420996e-01,-2.1984652589700948e-02
1.5216114979188694e-15,1.1925479793703120e-14,6.5071449497092954e-15,2.1049908285218251e-15,1.1391406876097842e+14,-5.5264852787637203e+13,5.3162179661206022e-01,-2.3533005862120371e-02
1.5569978118239593e-15,1.1947447021221467e-14,6.4850626676714301e-15,2.0881978290165219e-15,1.1324301546576269e+14,-6.9361550508548914e+13,5.2966617718339826e-01,-2.5703286192599650e-02
1.5923841257290494e-15,1.1969304883274414e-14,6.4628960344211955e-15,2.0713732835486771e-15,1.1257934152706728e+14,-8.2539505804191781e+13,5.2721172758415902e-01,-2.8517103616569228e-02
1.6277704396341393e-15,1.1991053984352056e-14,6.4406458900238908e-15,2.0545180539375176e-15,1.1198311349295970e+14,-9.3677520295407094e+13,5.2429095872220088e-01,-3.1943593838375639e-02
1.6631567535392294e-15,1.2012694829164751e-14,6.4183129337953528e-15,2.0376330314304066e-15,1.1150276159726680e+14,-1.0165004478913919e+14,5.2097605658317714e-01,-3.5890716505324161e-02
1.6985430674443193e-15,1.2034227756082695e-14,6.3958976845300322e-15,2.0207191100642006e-15,1.1117104289250462e+14,-1.0544025458396525e+14,5.1737903618980219e-01,-4.0204192525773674e-02
1.7339293813494092e-15,1.2055652893538569e-14,6.3734004638420489e-15,2.0037771616078142e-15,1.1100306520987017e+14,-1.0424986318062219e+14,5.1364789424286139e-01,-4.4675456211443976e-02
1.7693156952544993e-15,1.2076970141821258e-14,6.3508214033001742e-15,1.9868080126600796e-15,1.1099644409334780e+14,-9.7595110420778891e+13,5.0995887585978916e-01,-4.9057816876091342e-02
1.8047020091595894e-15,1.2098179179538245e-14,6.3281604732675823e-15,1.9698124241376479e-15,1.1113339913372188e+14,-8.5379531449457484e+13,5.0650534464683761e-01,-5.3088028788366382e-02
1.8400883230646791e-15,1.2119279491232927e-14,6.3054175289815990e-15,1.9527910732090958e-15,1.1138437080480855e+14,-6.7935247217638547e+13,5.0348407774589765e-01,-5.6509511097707854e-02
1.8754746369697692e-15,1.2140270410534683e-14,6.2825923676820472e-15,1.9357445377354254e-15,1.1171258091874734e+14,-4.6026723327450516e+13,5.0108009976263435e-01,-5.9093841651965962e-02
1.9108609508748592e-15,1.2161151172006373e-14,6.2596847896871866e-15,1.9186732834432858e-15,1.1207888592790259e+14,-2.0814836703885562e+13,4.9945138368294650e-01,-6.0658476480867751e-02
