object_id,object_type,component_count,epsilon_SE,model_id,chi_each,chi_total_per_component,selected_n_per_component,exact_holonomy_all_components,integer_selection_all_components,charge_safe_all_components,sum_lk_signed_estimate,sum_lk_signed_integer,pairwise_cross_signed,sum_abs_lk_integer,pairwise_cross_abs,self_attachment_sum_abs,helicity_index_signed_pairwise_only,helicity_index_unoriented_abs_pairwise_only,higher_linking_term,audit_status,notes
knot_0.2.1,multicomponent_link,2,0.01,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,-4.57273757914e-19,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.2.1,multicomponent_link,2,0.01,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,-4.57273757914e-19,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.2.1,multicomponent_link,2,0.01,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,-4.57273757914e-19,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.2.1,multicomponent_link,2,0.1,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,-4.57273757914e-19,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.2.1,multicomponent_link,2,0.1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,-4.57273757914e-19,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.2.1,multicomponent_link,2,0.1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,-4.57273757914e-19,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.2.1,multicomponent_link,2,1,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,-4.57273757914e-19,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.2.1,multicomponent_link,2,1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,-4.57273757914e-19,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.2.1,multicomponent_link,2,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,-4.57273757914e-19,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,0,C0_CANON_ATTACHED_BASELINE,1,1;1;1,1;1;1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,0,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1;1,1;1;1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1;-1,-1;-1;-1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,0.01,C0_CANON_ATTACHED_BASELINE,1,1;1;1,1;1;1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,0.01,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1;1,1;1;1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,0.01,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1;-1,-1;-1;-1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,0.1,C0_CANON_ATTACHED_BASELINE,1,1;1;1,1;1;1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,0.1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1;1,1;1;1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,0.1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1;-1,-1;-1;-1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,1,C0_CANON_ATTACHED_BASELINE,1,1;1;1,1;1;1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1;1,1;1;1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_0.3.1,multicomponent_link,3,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1;-1,-1;-1;-1,YES,YES,YES,1.94588829147e-19,0,0,0,0,3,3,3,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,0,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,0,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,0.01,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,0.01,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,0.01,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,0.1,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,0.1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,0.1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,1,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_2.2.1,multicomponent_link,2,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,1.00000486972,1,2,1,2,2,4,4,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,0,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,0,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,0.01,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,0.01,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,0.01,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,0.1,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,0.1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,0.1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,1,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_4.2.1,multicomponent_link,2,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,-2.0000178406,-2,-4,2,4,2,-2,6,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,0,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,0,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,0.01,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,0.01,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,0.01,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,0.1,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,0.1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,0.1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,1,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,1,C1_COMPENSATED_NEUTRAL_MATTER,1,1;1,1;1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_5.2.1,multicomponent_link,2,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1;-1,-1;-1,YES,YES,YES,3.27880164285e-10,0,0,0,0,2,2,2,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
knot_6.2.1,multicomponent_link,2,0,C0_CANON_ATTACHED_BASELINE,1,1;1,1;1,YES,YES,YES,3.00003143332,3,6,3,6,2,8,8,,LINK_CANON_CANDIDATE_EXACT_COMPENSATED,H/Gamma^2 = sum_i SL_i + 2 sum_ij Lk_ij + higher. Self SL_i here is attachment-only unless component SL_geom is supplied.
