curve,source_type,geometry_quality,torus_status,p,q,pq,target_pq_plus_1_abs,model_id,parity,connection,attachment,chirality,center_turns,allowed_n,selected_n_core,min_energy,sl_phys_abs,exact_pq_plus_1,fr_gate,local_identity,global_attachment,energy_gate_ct_positive,attachment_open_load_bearing,status
Knots_FourierSeries/3_1/knot.3_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
Knots_FourierSeries/3_1/knot.3_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,9,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
Knots_FourierSeries/3_1/knot.3_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,9,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
Knots_FourierSeries/3_1/knot.3_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1,"-5,-3,-1,1,3,5",1,0,7,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
Knots_FourierSeries/3_1/knot.3_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.959294312249,"-5,-3,-1,1,3,5",1,0.00165695301529,7,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
Knots_FourierSeries/5_1/knot.5_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,10,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
Knots_FourierSeries/5_1/knot.5_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"11,11",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
Knots_FourierSeries/5_1/knot.5_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
Knots_FourierSeries/5_1/knot.5_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,11,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
Knots_FourierSeries/5_1/knot.5_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,11,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
Knots_FourierSeries/5_1/knot.5_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,13,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
Knots_FourierSeries/5_1/knot.5_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,13,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
Knots_FourierSeries/5_1/knot.5_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1.04,"-5,-3,-1,1,3,5",1,0.0016,11,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
Knots_FourierSeries/5_1/knot.5_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.922303229414,"-5,-3,-1,1,3,5",1,0.0060367881595,11,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
Knots_FourierSeries/5_1/knot.5_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,10,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
Knots_FourierSeries/5_1/knot.5_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"11,11",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
Knots_FourierSeries/5_1/knot.5_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
Knots_FourierSeries/5_1/knot.5_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,11,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
Knots_FourierSeries/5_1/knot.5_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,11,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
Knots_FourierSeries/5_1/knot.5_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,13,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
Knots_FourierSeries/5_1/knot.5_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,13,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
Knots_FourierSeries/5_1/knot.5_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1.04,"-5,-3,-1,1,3,5",1,0.0016,11,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
Knots_FourierSeries/5_1/knot.5_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.922303229414,"-5,-3,-1,1,3,5",1,0.0060367881595,11,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
Knots_FourierSeries/7_1/knot.7_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,7,14,15,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,14,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
Knots_FourierSeries/7_1/knot.7_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,7,14,15,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"15,15",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
Knots_FourierSeries/7_1/knot.7_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,7,14,15,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
Knots_FourierSeries/7_1/knot.7_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,7,14,15,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,15,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
Knots_FourierSeries/7_1/knot.7_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,7,14,15,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,15,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
Knots_FourierSeries/7_1/knot.7_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,7,14,15,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,17,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
Knots_FourierSeries/7_1/knot.7_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,7,14,15,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,17,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
Knots_FourierSeries/7_1/knot.7_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,7,14,15,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1.08,"-5,-3,-1,1,3,5",1,0.0064,15,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
Knots_FourierSeries/7_1/knot.7_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,7,14,15,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,1.08085160918,"-5,-3,-1,1,3,5",1,0.00653698270673,15,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
knotplot/knot_3.1/knot_3.1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,6,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
knotplot/knot_3.1/knot_3.1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"7,7",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
knotplot/knot_3.1/knot_3.1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
knotplot/knot_3.1/knot_3.1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
knotplot/knot_3.1/knot_3.1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
knotplot/knot_3.1/knot_3.1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,9,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
knotplot/knot_3.1/knot_3.1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,9,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
knotplot/knot_3.1/knot_3.1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1,"-5,-3,-1,1,3,5",1,0,7,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
knotplot/knot_3.1/knot_3.1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.959294312249,"-5,-3,-1,1,3,5",1,0.00165695301529,7,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
knotplot/knot_T2.3/knot_T2.3.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,6,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
knotplot/knot_T2.3/knot_T2.3.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"7,7",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
knotplot/knot_T2.3/knot_T2.3.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
knotplot/knot_T2.3/knot_T2.3.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
knotplot/knot_T2.3/knot_T2.3.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
knotplot/knot_T2.3/knot_T2.3.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,9,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
knotplot/knot_T2.3/knot_T2.3.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,9,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
knotplot/knot_T2.3/knot_T2.3.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1,"-5,-3,-1,1,3,5",1,0,7,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
knotplot/knot_T2.3/knot_T2.3.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.959294312249,"-5,-3,-1,1,3,5",1,0.00165695301529,7,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
knotplot/knot_T2.5/knot_T2.5.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,10,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
knotplot/knot_T2.5/knot_T2.5.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"11,11",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
knotplot/knot_T2.5/knot_T2.5.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
knotplot/knot_T2.5/knot_T2.5.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,11,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
knotplot/knot_T2.5/knot_T2.5.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,11,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
knotplot/knot_T2.5/knot_T2.5.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,13,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
knotplot/knot_T2.5/knot_T2.5.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,13,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
knotplot/knot_T2.5/knot_T2.5.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1.04,"-5,-3,-1,1,3,5",1,0.0016,11,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
knotplot/knot_T2.5/knot_T2.5.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,5,10,11,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.922303229414,"-5,-3,-1,1,3,5",1,0.0060367881595,11,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
