gamma,M_phi_over_Eeff,M_phi_over_target,Lambda_over_target,relative_error
0.5,0.33333333333333337,0.6666666666666667,0.6666666666666667,-0.33333333333333326
0.75,0.42857142857142855,0.8571428571428571,0.8571428571428571,-0.1428571428571429
0.9,0.4736842105263159,0.9473684210526317,0.9473684210526317,-0.05263157894736825
0.95,0.48717948717948717,0.9743589743589743,0.9743589743589743,-0.02564102564102566
1.0,0.5,1.0,1.0,0.0
1.05,0.5121951219512196,1.0243902439024393,1.0243902439024393,0.024390243902439268
1.1,0.5238095238095238,1.0476190476190477,1.0476190476190477,0.04761904761904767
1.25,0.5555555555555556,1.1111111111111112,1.111111111111111,0.11111111111111094
1.5,0.6,1.2,1.2,0.19999999999999996
1.0,0.5,1.0,1.0,0.0
