run_id,returncode,run_dir,h,Rinv,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target_database,L_v8_geom_raw_if_available,delta_L_v8_geom_minus_cert,scale_geom_to_cert,target,reference,normalizer,L_cert_target,NsoftV,leading_full_cert,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,subleading_threshold,gate,status
g004_nc64_nt10_ns384_tf0p2_of5p4,0,outputs_routeB_BEM_v14_stageD\grids\D2_ultra_outer_anchored\runs\g004_nc64_nt10_ns384_tf0p2_of5p4,0.015625,0.18518518518518517,64,10,384,0.2,5.4,16.371637,16.372460337048228,0.0008233370482280122,0.999949712075566,3_1,0_1,Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-57.361837891264855,16.371637,-3.503732576727963,-1.7518662883639815,135.40283911547291,0.012772921521035714,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g004_nc64_nt10_ns384_tf0p2_of5p4,0,outputs_routeB_BEM_v14_stageD\grids\D2_ultra_outer_anchored\runs\g004_nc64_nt10_ns384_tf0p2_of5p4,0.015625,0.18518518518518517,64,10,384,0.2,5.4,16.371637,16.372460337048228,0.0008233370482280122,0.999949712075566,3_1,0_1,Lcert2,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-57.361837891264855,268.030498059769,-0.2140123542152787,-0.10700617710763935,137.04769922672924,0.000780185971692123,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g004_nc64_nt10_ns384_tf0p2_of5p4,0,outputs_routeB_BEM_v14_stageD\grids\D2_ultra_outer_anchored\runs\g004_nc64_nt10_ns384_tf0p2_of5p4,0.015625,0.18518518518518517,64,10,384,0.2,5.4,16.371637,16.372460337048228,0.0008233370482280122,0.999949712075566,3_1,0_1,Lcert3,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-57.361837891264855,4388.098019163743,-0.013072141424542865,-0.0065360707122714325,137.14816933312463,4.7654731881248214e-05,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g004_nc64_nt10_ns384_tf0p2_of5p4,0,outputs_routeB_BEM_v14_stageD\grids\D2_ultra_outer_anchored\runs\g004_nc64_nt10_ns384_tf0p2_of5p4,0.015625,0.18518518518518517,64,10,384,0.2,5.4,16.371637,16.372460337048228,0.0008233370482280122,0.999949712075566,3_1,0_1,NsoftV,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-57.361837891264855,16.755160819145562,-3.423532516961544,-1.711766258480772,135.44293914535612,0.012480550728760382,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g004_nc64_nt10_ns384_tf0p2_of5p4,0,outputs_routeB_BEM_v14_stageD\grids\D2_ultra_outer_anchored\runs\g004_nc64_nt10_ns384_tf0p2_of5p4,0.015625,0.18518518518518517,64,10,384,0.2,5.4,16.371637,16.372460337048228,0.0008233370482280122,0.999949712075566,3_1,0_1,NsoftV_Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-57.361837891264855,274.30941080767377,-0.20911363457188456,-0.10455681728594228,137.05014858655093,0.0007623275991741317,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g004_nc64_nt10_ns384_tf0p2_of5p4,0,outputs_routeB_BEM_v14_stageD\grids\D2_ultra_outer_anchored\runs\g004_nc64_nt10_ns384_tf0p2_of5p4,0.015625,0.18518518518518517,64,10,384,0.2,5.4,16.371637,16.372460337048228,0.0008233370482280122,0.999949712075566,3_1,0_1,leading_full_cert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-57.361837891264855,274.30941080767377,-0.20911363457188456,-0.10455681728594228,137.05014858655093,0.0007623275991741317,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g004_nc64_nt10_ns384_tf0p2_of5p4,0,outputs_routeB_BEM_v14_stageD\grids\D2_ultra_outer_anchored\runs\g004_nc64_nt10_ns384_tf0p2_of5p4,0.015625,0.18518518518518517,64,10,384,0.2,5.4,16.371637,16.372460337048228,0.0008233370482280122,0.999949712075566,3_1,0_1,leading_half_cert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-57.361837891264855,137.15470540383689,-0.4182272691437691,-0.20911363457188456,136.945591769265,0.0015246551983482634,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g004_nc64_nt10_ns384_tf0p2_of5p4,0,outputs_routeB_BEM_v14_stageD\grids\D2_ultra_outer_anchored\runs\g004_nc64_nt10_ns384_tf0p2_of5p4,0.015625,0.18518518518518517,64,10,384,0.2,5.4,16.371637,16.372460337048228,0.0008233370482280122,0.999949712075566,3_1,0_1,M_Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-57.361837891264855,16748.184651,-0.003424958530525868,-0.001712479265262934,137.15299292457163,1.248574928742494e-05,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g004_nc64_nt10_ns384_tf0p2_of5p4,0,outputs_routeB_BEM_v14_stageD\grids\D2_ultra_outer_anchored\runs\g004_nc64_nt10_ns384_tf0p2_of5p4,0.015625,0.18518518518518517,64,10,384,0.2,5.4,16.371637,16.372460337048228,0.0008233370482280122,0.999949712075566,3_1,0_1,sqrtM_Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-57.361837891264855,523.6365146885229,-0.109545144928225,-0.0547725724641125,137.09993283137277,0.0003993488397123577,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g004_nc64_nt10_ns384_tf0p2_of5p4,0,outputs_routeB_BEM_v14_stageD\grids\D2_ultra_outer_anchored\runs\g004_nc64_nt10_ns384_tf0p2_of5p4,0.015625,0.18518518518518517,64,10,384,0.2,5.4,16.371637,16.372460337048228,0.0008233370482280122,0.999949712075566,3_1,0_1,M_Lcert2,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-57.361837891264855,274195.1995151437,-0.00020920073725833694,-0.00010460036862916847,137.15460080346827,7.626451336188885e-07,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
