run_id,returncode,run_dir,h,Rinv,n_center,n_theta,n_sphere,tube_fraction,outer_factor,target,reference,normalizer,length_source,L_long_target,NsoftV,leading_full_inside_bracket,leading_half_alpha_inv,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_normalized,finite_correction_half,alpha_inv_pred_blind_v9,correction_to_leading_ratio,subleading_threshold,gate,status
g001_nc24_nt5_ns96_tf0p35_of2p4,0,outputs_routeB_BEM_v10\runs\g001_nc24_nt5_ns96_tf0p35_of2p4,0.041666666666666664,0.4166666666666667,24,5,96,0.35,2.4,3_1,0_1,raw,geometric_raw,16.372460056045686,16.755160819145562,274.32320124408244,137.16160062204122,175.87768521985979,1.0,175.87768521985979,87.93884260992989,225.1004432319711,0.6411331029320063,0.05,FAIL_NOT_SUBLEADING,ALPHA_BLIND_NORMALIZER_CANDIDATE_NOT_CODATA_COMPARISON
g001_nc24_nt5_ns96_tf0p35_of2p4,0,outputs_routeB_BEM_v10\runs\g001_nc24_nt5_ns96_tf0p35_of2p4,0.041666666666666664,0.4166666666666667,24,5,96,0.35,2.4,3_1,0_1,Mmax,geometric_raw,16.372460056045686,16.755160819145562,274.32320124408244,137.16160062204122,175.87768521985979,215.0,0.8180357452086502,0.4090178726043251,137.57061849464554,0.0029820144322418897,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_NORMALIZER_CANDIDATE_NOT_CODATA_COMPARISON
g001_nc24_nt5_ns96_tf0p35_of2p4,0,outputs_routeB_BEM_v10\runs\g001_nc24_nt5_ns96_tf0p35_of2p4,0.041666666666666664,0.4166666666666667,24,5,96,0.35,2.4,3_1,0_1,sqrtM,geometric_raw,16.372460056045686,16.755160819145562,274.32320124408244,137.16160062204122,175.87768521985979,14.66287829861518,11.994758575911414,5.997379287955707,143.15897990999693,0.043724914704676876,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_NORMALIZER_CANDIDATE_NOT_CODATA_COMPARISON
g001_nc24_nt5_ns96_tf0p35_of2p4,0,outputs_routeB_BEM_v10\runs\g001_nc24_nt5_ns96_tf0p35_of2p4,0.041666666666666664,0.4166666666666667,24,5,96,0.35,2.4,3_1,0_1,L,geometric_raw,16.372460056045686,16.755160819145562,274.32320124408244,137.16160062204122,175.87768521985979,16.372460056045686,10.742288246103572,5.371144123051786,142.532744745093,0.03915924062341883,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_NORMALIZER_CANDIDATE_NOT_CODATA_COMPARISON
g001_nc24_nt5_ns96_tf0p35_of2p4,0,outputs_routeB_BEM_v10\runs\g001_nc24_nt5_ns96_tf0p35_of2p4,0.041666666666666664,0.4166666666666667,24,5,96,0.35,2.4,3_1,0_1,L2,geometric_raw,16.372460056045686,16.755160819145562,274.32320124408244,137.16160062204122,175.87768521985979,268.0574482868115,0.6561193742010004,0.3280596871005002,137.48966030914173,0.002391774998342959,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_NORMALIZER_CANDIDATE_NOT_CODATA_COMPARISON
g001_nc24_nt5_ns96_tf0p35_of2p4,0,outputs_routeB_BEM_v10\runs\g001_nc24_nt5_ns96_tf0p35_of2p4,0.041666666666666664,0.4166666666666667,24,5,96,0.35,2.4,3_1,0_1,L3,geometric_raw,16.372460056045686,16.755160819145562,274.32320124408244,137.16160062204122,175.87768521985979,4388.759864801354,0.04007457474044788,0.02003728737022394,137.18163790941145,0.00014608525476046422,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_NORMALIZER_CANDIDATE_NOT_CODATA_COMPARISON
g001_nc24_nt5_ns96_tf0p35_of2p4,0,outputs_routeB_BEM_v10\runs\g001_nc24_nt5_ns96_tf0p35_of2p4,0.041666666666666664,0.4166666666666667,24,5,96,0.35,2.4,3_1,0_1,NsoftV,geometric_raw,16.372460056045686,16.755160819145562,274.32320124408244,137.16160062204122,175.87768521985979,16.755160819145562,10.4969261183629,5.24846305918145,142.41006368122268,0.03826481344180265,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_NORMALIZER_CANDIDATE_NOT_CODATA_COMPARISON
g001_nc24_nt5_ns96_tf0p35_of2p4,0,outputs_routeB_BEM_v10\runs\g001_nc24_nt5_ns96_tf0p35_of2p4,0.041666666666666664,0.4166666666666667,24,5,96,0.35,2.4,3_1,0_1,NsoftV_L,geometric_raw,16.372460056045686,16.755160819145562,274.32320124408244,137.16160062204122,175.87768521985979,274.32320124408244,0.6411331029320063,0.32056655146600316,137.48216717350724,0.0023371450173532726,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_NORMALIZER_CANDIDATE_NOT_CODATA_COMPARISON
g001_nc24_nt5_ns96_tf0p35_of2p4,0,outputs_routeB_BEM_v10\runs\g001_nc24_nt5_ns96_tf0p35_of2p4,0.041666666666666664,0.4166666666666667,24,5,96,0.35,2.4,3_1,0_1,leading_full,geometric_raw,16.372460056045686,16.755160819145562,274.32320124408244,137.16160062204122,175.87768521985979,274.32320124408244,0.6411331029320063,0.32056655146600316,137.48216717350724,0.0023371450173532726,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_NORMALIZER_CANDIDATE_NOT_CODATA_COMPARISON
g001_nc24_nt5_ns96_tf0p35_of2p4,0,outputs_routeB_BEM_v10\runs\g001_nc24_nt5_ns96_tf0p35_of2p4,0.041666666666666664,0.4166666666666667,24,5,96,0.35,2.4,3_1,0_1,leading_half,geometric_raw,16.372460056045686,16.755160819145562,274.32320124408244,137.16160062204122,175.87768521985979,137.16160062204122,1.2822662058640126,0.6411331029320063,137.80273372497322,0.004674290034706545,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_NORMALIZER_CANDIDATE_NOT_CODATA_COMPARISON
