ell,q_edge_m_inv,x1_m,f_edge_hz,n_line_m_inv,m2_line_m_inv3,q2_mean_m_inv2,barrier_qcrit,m2_line_ratio,spectral_power_fraction,classification
1.0,43349550111377.74,7.247117087762429e-14,7.546763883855838e+18,13798590362071.18,8.643361086907522e+39,6.263944982862833e+26,0.001243516441199338,nan,0.29354066030428444,allowed
2.0,86699100222755.48,3.6235585438812144e-14,1.5093527767711676e+19,13798590362071.18,3.4573444347630087e+40,2.505577993145133e+27,0.004974065764797352,nan,0.36494589692682505,allowed
4.0,173398200445510.97,1.8117792719406072e-14,3.0187055535423353e+19,13798590362071.18,1.3829377739052035e+41,1.0022311972580533e+28,0.019896263059189408,nan,0.634563831981226,allowed
8.0,346796400891021.94,9.058896359703036e-15,6.0374111070846706e+19,13798590362071.18,5.531751095620814e+41,4.008924789032213e+28,0.07958505223675763,nan,0.8175592128246932,allowed
13.0,563544151447910.6,5.5747054521249454e-15,9.81079304901259e+19,13798590362071.18,1.4607280236873712e+42,1.0586067021038189e+29,0.21015427856268815,nan,0.8981508094343585,allowed
21.0,910340552338932.6,3.4510081370297277e-15,1.5848204156097262e+20,13798590362071.18,3.811722239326217e+42,2.7623997374425096e+29,0.5483907505689082,nan,0.953589504536544,allowed
28.0,1213787403118576.8,2.5882561027722957e-15,2.1130938874796347e+20,13798590362071.18,6.776395092135497e+42,4.9109328665644615e+29,0.9749168899002811,nan,0.9705477344002915,marginal
34.0,1473884703786843.2,2.131505025812479e-15,2.5658997205109853e+20,13798590362071.18,9.991725416465094e+42,7.241120400189436e+29,1.437505006026435,nan,0.9779493834474854,suppressed
