label,profile,normalization,c_over_v_ref,n,continuous_ratio,fd_ratio,fd_relative_error_vs_cont
uniform boundary,uniform,boundary,1.0,1,1.0,0.9999999019542921,-9.80457078858521e-08
uniform boundary,uniform,boundary,1.0,2,1.0,0.9999996078172032,-3.921827967934277e-07
uniform boundary,uniform,boundary,1.0,3,1.0,0.999999117588837,-8.824111630278964e-07
uniform boundary,uniform,boundary,1.0,4,1.0,0.9999984312693665,-1.5687306335054885e-06
uniform boundary,uniform,boundary,1.0,5,1.0,0.999997548859034,-2.45114096597554e-06
uniform boundary,uniform,boundary,1.0,6,1.0,0.9999964703581511,-3.5296418489094705e-06
uniform boundary,uniform,boundary,1.0,7,1.0,0.9999951957670982,-4.804232901833849e-06
uniform boundary,uniform,boundary,1.0,8,1.0,0.9999937250863254,-6.27491367455324e-06
uniform boundary,uniform,boundary,1.0,9,1.0,0.9999920583163517,-7.941683648260423e-06
uniform boundary,uniform,boundary,1.0,10,1.0,0.9999901954577655,-9.804542234537195e-06
uniform boundary,uniform,boundary,1.0,11,1.0,0.9999881365112242,-1.1863488775798459e-05
uniform boundary,uniform,boundary,1.0,12,1.0,0.9999858814774546,-1.4118522545403245e-05
uniform boundary,uniform,boundary,1.0,13,1.0,0.9999834303572527,-1.6569642747321645e-05
uniform boundary,uniform,boundary,1.0,14,1.0,0.9999807831514833,-1.921684851668992e-05
uniform boundary,uniform,boundary,1.0,15,1.0,0.9999779398610814,-2.2060138918589267e-05
uniform boundary,uniform,boundary,1.0,16,1.0,0.9999749004870501,-2.5099512949933178e-05
uniform boundary,uniform,boundary,1.0,17,1.0,0.9999716650304624,-2.833496953758008e-05
uniform boundary,uniform,boundary,1.0,18,1.0,0.9999682334924601,-3.1766507539887634e-05
uniform boundary,uniform,boundary,1.0,19,1.0,0.9999646058742546,-3.539412574538048e-05
uniform boundary,uniform,boundary,1.0,20,1.0,0.9999607821771261,-3.921782287386044e-05
uniform boundary,uniform,boundary,1.0,21,1.0,0.9999567624024247,-4.323759757529633e-05
uniform boundary,uniform,boundary,1.0,22,1.0,0.9999525465515685,-4.745344843148924e-05
uniform boundary,uniform,boundary,1.0,23,1.0,0.9999481346260461,-5.1865373953852156e-05
uniform boundary,uniform,boundary,1.0,24,1.0,0.9999435266274148,-5.6473372585186254e-05
